,site_id,url,deal_type,city,zip_code,post_canton,accuracy,latitude,longitude,price_unit,price,property_type,living_space,rooms,perspective,year_built,outdoor_parking,indoor_parking,balcony,property_area,fireplace,pets_allowed,floor,wheelchair_accessible,ceiling_height,lift,cable_tv,last_renovation,floor_space,cubage,minergie_certified
1,3000285463,https://www.homegate.ch/rent/3000285463,rent,Hüntwangen,8194,ZH,HIGH,47.593075,8.496588,Month,2040.0,APARTMENT,94.0,3.5,1.0,2020.0,1.0,1.0,1.0,,,,1,1.0,2.4,1.0,,,,,
2,3000183253,https://www.homegate.ch/rent/3000183253,rent,Hüntwangen,8194,ZH,MEDIUM,47.595579,8.493042299999999,Month,2280.0,APARTMENT,125.0,4.5,,2015.0,,1.0,1.0,,,,1,,,,1.0,,,,
4,3000388465,https://www.homegate.ch/rent/3000388465,rent,Wasterkingen,8195,ZH,MEDIUM,47.590275,8.4708525,Month,1770.0,APARTMENT,86.0,3.5,,2013.0,1.0,1.0,1.0,,,1.0,1,,,1.0,1.0,,,,
6,3000234574,https://www.homegate.ch/rent/3000234574,rent,Wil ZH,8196,ZH,HIGH,47.60401880000001,8.5055008,Month,1530.0,APARTMENT,75.0,3.0,1.0,1815.0,1.0,,1.0,,,,2,,,,1.0,2018.0,,,
7,3000355140,https://www.homegate.ch/rent/3000355140,rent,Wil ZH,8196,ZH,HIGH,47.6031734,8.502557999999999,Month,1620.0,APARTMENT,85.0,3.5,,,1.0,,1.0,,,1.0,Ground,,,,,,,,
12,3000299011,https://www.homegate.ch/rent/3000299011,rent,Wil ZH,8196,ZH,HIGH,47.60557900000001,8.5070084,Month,1680.0,APARTMENT,108.0,4.5,,1820.0,,,1.0,,,,1,,2.4,,1.0,2003.0,108.0,,
13,3000169659,https://www.homegate.ch/rent/3000169659,rent,Wil ZH,8196,ZH,MEDIUM,47.6053131,8.505432299999999,Month,1850.0,APARTMENT,130.0,4.5,1.0,,,1.0,1.0,,,1.0,3,,,,1.0,,,,
14,3000304505,https://www.homegate.ch/rent/3000304505,rent,Feldbach,8714,ZH,HIGH,47.23949020000001,8.7877297,Month,2150.0,APARTMENT,72.0,2.5,,1719.0,1.0,,,,1.0,,2,,2.24,,1.0,2018.0,,,
18,3000359584,https://www.homegate.ch/rent/3000359584,rent,Uetikon am See,8707,ZH,HIGH,47.2622359,8.681782199999999,Month,2571.0,APARTMENT,104.0,4.5,1.0,1998.0,,1.0,1.0,,1.0,1.0,2,1.0,2.4,1.0,,,153.0,,
19,3000421101,https://www.homegate.ch/rent/3000421101,rent,Herrliberg,8704,ZH,MEDIUM,47.2902541,8.6116727,Month,900.0,APARTMENT,15.0,1.0,1.0,,,,1.0,,,,1,,,,,,,,
